,cname,undp_hdi,ccodealp,ht_region,gle_cgdpc,imf_pop,ffp_hf,wef_qes,wdi_expedu,wdi_ners
73,Honduras,0.62300003,HND,LatAm,3303.1399,,6.900000095367432,3.180157661437988,5.86775016784668,49.25936126708984
148,San Marino,,SMR,WesternDem,42664.211,0.034000001847744,,,2.383729934692383,
50,Dominican Republic,0.71799999,DOM,LatAm,10376.63,,7.599999904632568,2.636394500732422,,65.45761108398438
111,Monaco,,MCO,WesternDem,108481.13,,,,1.021950006484985,
12,Bangladesh,0.57499999,BGD,SouthAsia,1796.64,154.6950073242188,7.5,3.293149709701538,1.957260012626648,57.23989868164063
6,Azerbaijan,0.75800002,AZE,EastEurope,9793.3096,9.342000007629396,4.300000190734863,3.089141368865967,2.634660005569458,
38,Colombia,0.72399998,COL,LatAm,8761.1396,47.6619987487793,6.699999809265137,3.405907869338989,4.659409999847412,78.58606719970703
146,St Lucia,0.73500001,LCA,Caribbean,11095.8,0.1669999957084656,,,4.901659965515137,77.71405792236328
113,Moldova,0.70099998,MDA,EastEurope,4207.8701,3.555000066757202,6.400000095367432,3.163065433502197,7.467840194702148,76.86421203613281
3,Andorra,0.85699999,AND,WesternDem,32367.33,,,,2.997809886932373,
142,Romania,0.79799998,ROU,EastEurope,14563.14,19.95299911499023,4.5,3.833498477935791,3.129179954528809,83.92993927001953
105,Maldives,0.70099998,MDV,SouthAsia,13349.76,0.335999995470047,5.599999904632568,,4.146959781646729,
166,Swaziland,0.54100001,SWZ,SubSaharian,4110.0498,1.105999946594238,6.900000095367432,3.79865288734436,7.049990177154541,36.21157836914063
155,Singapore,0.92400002,SGP,SouthEastAsia,54268.148,5.46999979019165,3.299999952316284,5.797279357910156,2.91579008102417,
118,Namibia,0.63700002,NAM,SubSaharian,4521.29,,6.5,3.05289626121521,,
33,Sri Lanka,0.764,LKA,SouthAsia,5466.8701,20.54100036621094,7.800000190734863,4.644126892089844,1.925660014152527,85.42613983154297
29,Cameroon,0.514,CMR,SubSaharian,2658.51,,7.5,3.810850858688355,3.029900074005127,43.13555908203125
67,Greece,0.86500001,GRC,WesternDem,25295.27,10.92700004577637,3.799999952316284,2.999258995056152,,95.0673828125
185,Tanzania,0.51899999,TZA,SubSaharian,1416.3,43.88000106811523,7.0,3.004210472106934,3.479140043258667,
153,Seychelles,0.78100002,SYC,SubSaharian,9583.3203,0.0900000035762787,5.5,4.323356151580811,3.60644006729126,74.57037353515625
109,Mauritius,0.77899998,MUS,SubSaharian,10944.54,1.261000037193298,4.199999809265137,4.234806537628174,4.91772985458374,83.88175964355469
117,Oman,0.79500002,OMN,NorthAfrica,26158.73,3.717000007629395,1.899999976158142,3.535049200057983,4.960380077362061,94.32984161376952
157,Vietnam,0.67799997,VNM,SouthEastAsia,4147.5698,89.69100189208984,5.599999904632568,3.336011409759522,5.658730030059815,
98,Libya,0.71899998,LBY,NorthAfrica,4102.8398,6.265999794006348,6.400000095367432,1.874972462654114,,
161,Zimbabwe,0.50700003,ZWE,SubSaharian,15997.67,12.45899963378906,8.0,4.20008134841919,8.429329872131348,44.23696899414063
170,Tajikistan,0.625,TJK,EastEurope,3592.6499,8.131999969482422,6.300000190734863,3.840425491333008,5.232150077819824,83.22482299804688
95,Lesotho,0.495,LSO,SubSaharian,1539.79,,7.400000095367432,4.053547382354736,,35.21265029907227
41,"Congo, Democratic Republic",0.42500001,COD,SubSaharian,324.16,,7.099999904632568,2.957446813583374,2.245349884033203,
74,Hungary,0.83399999,HUN,EastEurope,18310.811,9.876999855041504,3.299999952316284,3.28902006149292,4.659349918365479,92.19537353515624
177,Turkey,0.764,TUR,NorthAfrica,16900.711,77.69599914550781,3.700000047683716,3.422157049179077,4.766260147094727,87.16455078125
0,Afghanistan,0.479,AFG,SouthAsia,1282.64,29.82500076293945,8.100000381469727,,3.780280113220215,48.75032043457031
20,Brazil,0.75400001,BRA,LatAm,9815.2402,202.7689971923828,4.099999904632568,2.720419406890869,5.993949890136719,82.8290786743164
123,New Zealand,0.91299999,NZL,WesternDem,26481.369,4.554999828338623,2.099999904632568,5.318371295928955,6.33680009841919,96.44001770019533
82,Italy,0.88099998,ITA,WesternDem,32931.672,60.78300094604492,2.0,3.736852645874023,4.079850196838379,95.72698974609376
127,Norway,0.94800001,NOR,WesternDem,57634.77,5.156000137329102,1.600000023841858,5.048264026641846,7.373290061950684,95.2019271850586
85,Japan,0.90200001,JPN,EastAsia,36123.77,127.120002746582,2.599999904632568,4.430102348327637,3.591840028762817,99.04267120361328
23,Brunei,0.86400002,BRN,SouthEastAsia,46103.84,0.4120000004768372,4.599999904632568,4.417221069335938,3.353189945220947,87.03231811523438
151,Senegal,0.491,SEN,SubSaharian,1527.99,,7.400000095367432,3.760167360305786,7.396200180053711,
121,Netherlands,0.92299998,NLD,WesternDem,42258.352,16.86499977111816,2.599999904632568,5.304530620574951,5.529379844665527,93.88201904296876
36,China,0.73400003,CHN,EastAsia,9283.3799,,4.599999904632568,4.028250217437744,,
91,Kuwait,0.79900002,KWT,NorthAfrica,64342.711,3.999000072479248,3.099999904632568,3.075769186019898,,83.57884979248047
86,Kazakhstan,0.79299998,KAZ,EastEurope,14098.88,17.42200088500977,3.599999904632568,3.581974983215332,2.787499904632568,95.94628143310548
75,Iceland,0.91900003,ISL,WesternDem,31313.609,0.3289999961853027,2.799999952316284,4.882655143737793,7.805850028991699,87.68177032470703
32,Central African Republic,0.347,CAF,SubSaharian,690.03998,,6.900000095367432,,1.22393000125885,13.60074996948242
68,Grenada,0.75099999,GRD,Caribbean,8314.5596,,8.399999618530273,,,82.3596420288086
